"compartment","bin","r","p","p_signif","bin_start","bin_end"
"fung_det",1,-0.0483,0.084,"",0.15,7.53
"fung_det",2,-0.0184,0.133,"",7.53,14.91
"fung_inv",1,0.0459,0.239,"",32,611.6
"fung_inv",2,0.0493,0.211,"",611.6,1191.2
"fung_water",1,0.0088,0.394,"",32,611.6
"fung_water",2,0.0018,0.488,"",611.6,1191.2
"bact_det",1,-0.0031,0.396,"",0.15,7.53
"bact_det",2,-0.0133,0.2,"",7.53,14.91
"bact_inv_water",1,0.0519,0.33,"",32,611.6
"bact_inv_water",2,0.0522,0.225,"",611.6,1191.2
"bact_water",1,-0.0085,0.354,"",32,611.6
"bact_water",2,0.0457,0.145,"",611.6,1191.2
"bact_inv_det",1,0.0734,0.31,"",0.15,7.53
"bact_inv_det",2,-0.0509,0.199,"",7.53,14.91
